,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
77,77.0,0.3096,0.2549,0.1702,0.1285,0.016,0.008,0.4372,0.3671,0.008,0.0,0.0,0.0,0.5363,0.2549,0.0,0.0,0.0,0.0,0.4629,0.2857,0.0625,0.008,0.008,0.0
78,78.0,0.2951,0.2612,0.1836,0.1326,0.0074,0.0074,0.4055,0.3854,0.0221,0.0074,0.0,0.0,0.5138,0.2726,0.0074,0.0074,0.0,0.0,0.4635,0.2555,0.072,0.0221,0.0221,0.0
79,79.0,0.3142,0.2624,0.1563,0.1161,0.0303,0.0077,0.4207,0.3795,0.0153,0.0,0.0,0.0,0.5306,0.2564,0.0077,0.0,0.0,0.0,0.4555,0.2858,0.0741,0.0077,0.0077,0.0
80,80.0,0.2858,0.2384,0.1759,0.1629,0.0228,0.0077,0.4308,0.3742,0.0077,0.0,0.0,0.0,0.5215,0.2741,0.0,0.0,0.0,0.0,0.4652,0.2973,0.0377,0.0153,0.0077,0.0
81,81.0,0.3066,0.2488,0.1682,0.1287,0.0301,0.0076,0.4181,0.3665,0.0301,0.0076,0.0,0.0,0.523,0.2665,0.0076,0.0,0.0,0.0,0.4478,0.2723,0.0946,0.0152,0.0076,0.0
82,82.0,0.26,0.2539,0.1652,0.1452,0.0458,0.0308,0.4261,0.3844,0.0,0.0,0.0,0.0,0.5046,0.2955,0.0,0.0,0.0,0.0,0.4855,0.3128,0.0078,0.0,0.0,0.0
83,83.0,0.2776,0.2469,0.1756,0.1553,0.0237,0.0159,0.4134,0.392,0.008,0.0,0.0,0.0,0.5092,0.2897,0.0,0.0,0.0,0.0,0.475,0.2837,0.0469,0.008,0.008,0.0
84,84.0,0.2678,0.2434,0.1797,0.1664,0.0233,0.0156,0.4185,0.3762,0.0233,0.0,0.0,0.0,0.5124,0.2857,0.0,0.0,0.0,0.0,0.4591,0.2857,0.0611,0.0156,0.0078,0.0
85,85.0,0.2478,0.2294,0.1849,0.1652,0.0458,0.0308,0.4312,0.3791,0.0,0.0,0.0,0.0,0.4998,0.2955,0.0078,0.0,0.0,0.0,0.4758,0.3013,0.0232,0.0078,0.0078,0.0
86,86.0,0.2798,0.231,0.1664,0.153,0.0462,0.0233,0.4185,0.3816,0.0156,0.0,0.0,0.0,0.4981,0.2975,0.0078,0.0,0.0,0.0,0.469,0.2916,0.0537,0.0078,0.0,0.0
